id;parent_id;product_number;active;stock;name;description;price_net;price_gross;purchase_prices_net;purchase_prices_gross;tax_id;tax_rate;tax_name;cover_media_id;cover_media_url;cover_media_title;cover_media_alt;manufacturer_id;manufacturer_name;categories;sales_channel;propertyIds;optionIds
00000000000000000000000000000d6e;;ZU7003CREME;1;99759;"Cremeseife 10 ltr. rosa Hamburg Clean";"<ul>
	<li>Cremeseife mit angenehmen Duft.</li>
	<li>Reinigt&nbsp;schonend H&auml;nde und K&ouml;rper</li>
	<li>Der angenehmer ph-Wert</li>
	<li>Der Duft unterst&uuml;tzt den Reinigungsprozess und sorgt f&uuml;r ein frisches, sauberes Gef&uuml;hl.</li>
	<li><span style=""color:#4b6b8b;""><strong>MADE IN GERMANY</strong></span></li>
                <li><span style=""color:#4b6b8b;""><strong>Versandkostenfrei </strong></span></li>
</ul>

<p><span style=""color:#4b6b8b;""><strong><iframe frameborder=""0"" height=""200"" name=""Cremeseife rosa"" scrolling=""no"" src=""https://embed.imajize.com/218724530"" title=""Cremeseife rosa"" width=""200""></iframe></strong></span></p>";9.18;10.92;6.8;8.09;0192436d054573ab9c558465bce16e8d;19;"Standard rate";019aa139d0a371a8b3f1006e3676472d;https://sw6.hamburgpapier-shop.de/media/a7/5d/72/1763641513/cremeseife.avif?ts=1763643759;"Cremeseife rosa";"Cremeseife rosa in 10 ltr. Kanister";;;00000000000000000000000000000347|00000000000000000000000000000386;0192436de3fe728997374211eefd79c9;;
00000000000000000000000000000eee;;ZUE081;1;99999;"Toilettenpapier 3 lagig recycling • 250 Blatt • 2112 Rollen PALETTE";"<ul>
	<li><strong>Toilettenpapier 3 lagig recycling wei&szlig;</strong>&nbsp;</li>
	<li><strong>250 Blatt pro Rolle</strong> &ndash; 1 VE = 64 Rollen (8 x 8 Rollen)</li>
	<li>Hohe Festigkeit und <strong>Soft</strong> in spitzen Zellstoffqualit&auml;t</li>
	<li>Unser&nbsp;Produkt hat ein&nbsp;<strong>EU Ecolabel</strong>&nbsp;Zertifikat</li>
	<li>Abmessungen: H&ouml;he 9,50cm &ndash; Blattl&auml;nge 11cm</li>
	<li><span style=""color:#4b6b8b;""><strong>Palettenversand ab 33 VE = 2112 Rollen</strong></span></li>
	<li><span style=""color:#4b6b8b;""><strong>Versandkostenfrei</strong></span></li>
</ul>

<p><img alt=""Ecolabel Zertifikat für Toilettenpapier 3 lagig recycling mit 250 Blatt auf der Rolle"" src=""/media/72/7a/4d/1753779831/ecolabel-zertifikat-fuer-toilettenpapier-3-lagig-recycling-soft.avif?ts=1753779862"" style=""width: 225px; height: 90px;"" title=""Eu Ecolabel Zertifikat"" /></p>";16.27;19.36;11.44;13.61;0192436d054573ab9c558465bce16e8d;19;"Standard rate";0198997892787d0b91119f669d06a7fc;https://sw6.hamburgpapier-shop.de/media/4e/35/fb/1754921473/toilettenpapier-3-lagig-recycling-soft-2112-rollen-palettenversand.avif?ts=1761909845;"Toilettenpapier 3 lagig recycling Soft 2112 Rollen auf der Palette  ";"Toilettenpapier 3 lagig recyling 250 Blatt Soft auf einer Palette sind 33 VE = 2112 rollen für den Palettenversand";;;00000000000000000000000000000332|00000000000000000000000000000357|0000000000000000000000000000035c|019879fe58fa74a582f4816690681e39;0192436de3fe728997374211eefd79c9;af000000000000000000000000000391|af000000000000000000000000000394|af000000000000000000000000000399|af0000000000000000000000000003a7|af00000000000000000000000000033b;
00000000000000000000000000000f56;;ZU039GOLD;1;99999;"Toilettenpapier 3 lagig Zellstoff ULTRA SOFT • 250 Blatt • 1848 Rollen PALETTE";"<ul>
	<li><strong>Toilettenpapier 3 lagig Zellstoff Ultra Soft &quot;GOLD&quot;</strong></li>
	<li><strong>250 Blatt pro Rolle</strong> &ndash;&nbsp; 1 VE = 56 Rollen (7 x 8 Rollen)</li>
	<li>Hohe Festigkeit und <strong>Ultra Soft</strong> in premium Zellstoffqualit&auml;t</li>
	<li>Das Produkt hat ein <strong>EU Ecolabel Zertifikat</strong>&nbsp;</li>
	<li>Abmessungen: <strong>Blattl&auml;nge 12cm </strong>und<strong>&nbsp;Durchmesser 12cm</strong></li>
	<li><span style=""color:#4b6b8b;""><strong>Palettenversand ab 33 VE = 1848 Rollen</strong></span></li>
	<li><span style=""color:#4b6b8b;""><strong>Versandkostenfrei</strong></span></li>
</ul>

<p><img alt=""Ecolabel Zertifikat für Toilettenpapier 3 lagig Zellstoff Ultra Soft 250 Blatt "" src=""/media/3d/87/60/1753693772/ecolabel-zertifikat-fuer-toilettenpapier-3-lagig-zellstoff-ultra-soft.avif?ts=1753693804"" style=""width: 225px; height: 90px;"" title=""Eu Ecolabel Zertifikat für Toilettenpapier 3 lagig Ultra Soft"" /></p>";18.13;21.57;12.81;15.24;0192436d054573ab9c558465bce16e8d;19;"Standard rate";01985049f6ce7a6da80d07a8f2cec121;https://sw6.hamburgpapier-shop.de/media/17/31/d4/1753693682/toilettenpapier-3-lagig-zellstoff-ultra-soft-1848-rollen.avif?ts=1761823103;"Toilettenpapier 3 lagig Ultra Soft 1848 Rollen auf der Palette";"Toilettenpapier 3 lagig Zellstoff 250 Blatt Ultra Soft auf einer Palette sind 33 VE = 1848 Rollen für den Palettenversand";;;00000000000000000000000000000332|00000000000000000000000000000357|0000000000000000000000000000035b|019879ff2aee7927a11d71f03b83e945;0192436de3fe728997374211eefd79c9;af000000000000000000000000000391|af000000000000000000000000000395|af000000000000000000000000000399|af0000000000000000000000000003a8|af00000000000000000000000000033b;
00000000000000000000000000001026;;E016-Karton;1;99999;"Papierhandtücher 1 lagig GRÜN • ECO LINE Z Falzung  24x21cm  35 g/m² • Karton";"<ul>
	<li><strong>Papierhandt&uuml;cher 1 lagig gr&uuml;n 35g m&sup2;&nbsp;</strong>recycling&nbsp;<span style=""color: rgb(0, 153, 51);"">&nbsp;<img alt=""ECOLINE Papierhandtücher grün 1 lagig im Kartonversand"" src=""/media/dc/2c/bb/1747377251/papierthandtuecher-1-lagig-gruen-ecoline.png?ts=1751356576"" style=""width: 75px; height: 13px;"" title=""ECOLINE im kartonversand"" /></span></li>
	<li>hohe Saugf&auml;higkeit, reissfest, weich sowie nassfest</li>
	<li>passend f&uuml;r alle Standard-Spender</li>
	<li>unsere Produkte sind zu 100% aus Altpapier mit <strong>EU ECOLABEL</strong></li>
	<li>Abmessungen: gefaltet 24&nbsp;x 10,5 cm - Ausgefaltet 24&nbsp;x 21 cm&nbsp;</li>
	<li><span style=""color:#4b6b8b;""><strong>Kartonversand ab 3&nbsp;Kartons</strong></span></li>
	<li><span style=""color:#4b6b8b;""><strong>Versandkostenfrei</strong></span></li>
	<li><span style=""font-size: 13px; color: rgb(255, 0, 0);"">Versandinformation : Ab 24&nbsp;Kartons =&nbsp;1/2 Palette, versenden wir auf Palette</span></li>
</ul>

<p><span style=""color:#4b6b8b;""><strong><img alt=""Papierhandtücher 1 lagig grün ECOLINE mit ECOLABEL im Kartonversand ab 3 Kartons"" src=""/media/68/44/af/1744101791/eu-ecolabel-papierhandtuecher-1-lagig-gruen-eco-nachhaltig.avif?ts=1751355525"" style=""height: 90px; width: 225px;"" title=""ECOLABEL Grün 1 lagig im Kartonversand"" /></strong></span></p>

<p><iframe allowfullscreen="""" frameborder=""0"" height=""200"" scrolling=""no"" src=""https://embed.imajize.com/798046054"" style=""background-color: transparent; border: 0;"" title=""Papierhandtücher 1 lagig grün ECO LINE im Kartonversand"" width=""200""></iframe></p>";13.38;15.92;7.3;8.69;0192436d054573ab9c558465bce16e8d;19;"Standard rate";0196b59bff21741096253f4ebc6b6874;https://sw6.hamburgpapier-shop.de/media/d1/be/ab/1746803622/papierhandtuecher-1-lagig-gruen-eco-line-kartonversand-ab-3.avif?ts=1761316631;"Papierhandtücher 1 lagig grün ECO LINE Kartonversand ab 3";"Papierhandtücher 1 lagig grün Eco Line mit Z falzung 24 x 21 cm  mit Kartonversand ab 3 Kartons";;;00000000000000000000000000000325|00000000000000000000000000000326|0197f3c369cd747cbb809add762cc41d|00000000000000000000000000000327;0192436de3fe728997374211eefd79c9;af00000000000000000000000000038e|af000000000000000000000000000394|af00000000000000000000000000039d|af000000000000000000000000000399|af000000000000000000000000000390|af0000000000000000000000000003a5;
00000000000000000000000000001023;;ZUE016;1;99999;"Papierhandtücher 1 lagig GRÜN • ECO LINE Z Falzung  24x21cm  35 g/m² • Palette";"<ul>
	<li><strong>Papierhandt&uuml;cher 1 lagig gr&uuml;n 35g m&sup2;&nbsp;</strong>recycling&nbsp;<span style=""color: rgb(0, 153, 51);"">&nbsp;<img alt=""ECOLINE Papierhandtücher 1 lagig grün im Palettenversand"" src=""/media/dc/2c/bb/1747377251/papierthandtuecher-1-lagig-gruen-ecoline.png?ts=1751356576"" style=""width: 75px; height: 13px;"" title=""Ecolline"" /></span></li>
	<li>hohe Saugf&auml;higkeit, reissfest, weich sowie nassfest</li>
	<li>passend f&uuml;r alle Standard-Spender</li>
	<li>unsere Produkte sind zu 100% aus Altpapier mit <strong>EU ECOLABEL</strong></li>
	<li>Abmessungen: gefaltet 24&nbsp;x 10,5 cm - Ausgefaltet 24&nbsp;x 21 cm&nbsp;</li>
	<li><span style=""color:#4b6b8b;""><strong>Palettenversand ab 48 Kartons</strong></span></li>
	<li><span style=""color:#4b6b8b;""><strong>Versandkostenfrei</strong></span></li>
</ul>

<p><span style=""color:#4b6b8b;""><strong><img alt=""Papierhandtücher 1 lagig grün ecoline mit ECOLABEL"" src=""media/68/44/af/1744101791/eu-ecolabel-papierhandtuecher-1-lagig-gruen-eco-nachhaltig.avif?ts=1751355525"" style=""height: 90px; width: 225px;"" title=""Papierhandtücher 1 lagig Grün Ecolabel"" /></strong></span></p>

<p><iframe allowfullscreen="""" frameborder=""0"" height=""200"" scrolling=""no"" src=""https://embed.imajize.com/798046054"" style=""background-color: transparent; border: 0;"" title=""Papierhandtücher 1 lagig grün ECO LINE im Kartonversand"" width=""200""></iframe></p>";10.19;12.13;6.96;8.28;0192436d054573ab9c558465bce16e8d;19;"Standard rate";0196b5a272087adfa31b1373ba453d66;https://sw6.hamburgpapier-shop.de/media/96/6f/a9/1746804045/papierhandtuecher1-lagig-gruen-eco-line-palettenversand-ab-48-kartons.avif?ts=1750409996;"Papierhandtücher 1 lagig grün ECO LINE ab 48 Kartons";"papierhandtücher 1 lagig grün eco line mit zz faltung 24x21cm aus recycling papier im Palettenversand";;;00000000000000000000000000000325|00000000000000000000000000000326|0197f3c369cd747cbb809add762cc41d|0000000000000000000000000000031d|00000000000000000000000000000327;0192436de3fe728997374211eefd79c9;af00000000000000000000000000038e|af000000000000000000000000000391|af000000000000000000000000000394|af00000000000000000000000000039d|af000000000000000000000000000399|af0000000000000000000000000003a5;
00000000000000000000000000000f1c;;E031-Karton;1;99999;"Papierhandtücher 2 lagig weiß ECOLINE • recycling Z Falzung  25x21cm • Karton";"<ul>
	<li><strong>Papierhandt&uuml;cher 2 lagig wei&szlig;&nbsp;2 x 18g m&sup2; </strong>&nbsp;<strong><span style=""font-family: arial, helvetica, sans-serif;""><span style=""color: rgb(0, 128, 0);"">ECO</span><span style=""color: rgb(255, 140, 0);"">LINE</span></span></strong></li>
	<li>Nassfest, sehr hohe Saugf&auml;higkeit, Festigkeit und weich</li>
	<li><u>Ohne Plastik Verpackung</u> und passend f&uuml;r alle Standard-Spender</li>
	<li>Das Produkt&nbsp;ist&nbsp;<strong>EU ECOLABEL </strong>zertifiziert</li>
	<li>Abmessungen: gefaltet 25 x 10,5 cm &ndash; ausgefaltet 25 x 21 cm</li>
	<li><span style=""color:#4b6b8b;""><strong>Kartonversand ab 3 Kartons</strong></span></li>
	<li><font color=""#4b6b8b""><b>Versandkostenfrei</b></font></li>
	<li><span style=""font-size: 12px; color: rgb(255, 0, 0);"">Versandinformation: Ab 24&nbsp;Kartons =&nbsp;1/2 Palette, versenden wir auf Palette</span></li>
</ul>
<p><img alt=""Ecolabel zertifizierte Papierhandtücher 2 lagig weiss Ecoline "" src=""/media/a1/ab/dc/1749024063/ecolabel-umweltzeichen-fr-papierhandtuecher-2-lagig-weiss-ecoline-kar.avif?ts=1751947820"" style=""width: 225px; height: 90px;"" title=""Ecolabel zertifizierte Papierhandtücher 2 lagig Ecoline "" /></p>";16.84;20.04;8.5;10.12;0192436d054573ab9c558465bce16e8d;19;"Standard rate";019739f0f9e37875b55bcee4dbe9243a;https://sw6.hamburgpapier-shop.de/media/fe/9c/76/1749023784/papierhandtuecher-2-lagig-weiss-recycling-ecoline-kartonversand.avif?ts=1761400679;"Papierhandtücher 2 lagig weiss recycling Ecoline";"Papierhandtücher 2 lagig weiss recycling Ecoline Kartonversand versandkostenfrei";;;00000000000000000000000000000325|0000000000000000000000000000033c|0000000000000000000000000000032d|01980d4a0d787e1fb7cbf795322b6cd6|0000000000000000000000000000034a;0192436de3fe728997374211eefd79c9;af000000000000000000000000000394|af00000000000000000000000000039b|af00000000000000000000000000039d|af000000000000000000000000000392|af000000000000000000000000000399|af000000000000000000000000000390|af0000000000000000000000000003a7;
00000000000000000000000000000e82;;8500Karton;1;99999;"Handtuchrollen 2 lagig Zellstoff • 100m 475 Blatt • Innenauszug + Außenabwicklung • 6 Rollen VE";"<ul>
	<li><strong>Handtuchrollen <u>2 lagig&nbsp;Zellstoff</u></strong><u>&nbsp;</u></li>
	<li><u><strong>100&nbsp;Meter = 475&nbsp;Blatt</strong></u>&nbsp;&nbsp;</li>
	<li>Grammatur: 36g &bull; 1 VE = 6 Rollen</li>
	<li>Mit&nbsp;Innenauszug&nbsp;&amp;&nbsp;Au&szlig;enabwicklung</li>
	<li>Sehr gute Saugf&auml;higkeit und Stabilit&auml;t</li>
	<li>Abmessungen:&nbsp;Durchmesser: 19cm - H&uuml;lse: 6cm - Breite: 20cm</li>
	<li><span style=""color:#4b6b8b;""><strong>Kartonversand ab 2 VE = 12 Rollen</strong></span></li>
	<li><span style=""color:#4b6b8b;""><strong>Versandkostenfrei</strong></span></li>
	<li><span style=""font-size:12px;""><span style=""color:#FF0000;"">Ab 20 VE = 120 Rollen = 1/2 Palette,&nbsp;werden auf einer Palette versendet</span></span></li>
</ul>";15.42;18.35;8.28;9.85;0192436d054573ab9c558465bce16e8d;19;"Standard rate";01998bc7bab877a68febb3343468a2a8;https://sw6.hamburgpapier-shop.de/media/81/26/dd/1758986746/handtuchrollen-100-m-innenauszug-aussenabwicklung-ab-12-rollen.avif?ts=1760099481;"Handtuchrollen 100 m Innenauszug Außenabwicklung ab 12 Rollen";"Handtuchrollen 100 m 2 lagig mit Innenauszug und Außenabwicklung im ab 12 Rollen in einem Karton und versandkostenfrei";;;00000000000000000000000000000341|0000000000000000000000000000036d|00000000000000000000000000000375|00000000000000000000000000000376|01989d45747d7d0b91963e19ca70e61e;0192436de3fe728997374211eefd79c9;af000000000000000000000000000392|af000000000000000000000000000395|af0000000000000000000000000003a8|af000000000000000000000000000390|af0000000000000000000000000003c7;
00000000000000000000000000000fc4;;350-Karton;1;99999;"Toilettenpapier 3 lagig Zellstoff 350 Blatt ohne Plastik m. Solarenergie hergestellt 40 Rollen  KARTON";"<html>
</head>
<body>
<ul>
	<li><strong>Toilettenpapier 3 lagig Zellstoff </strong><strong>ohne Plastik Verpackung</strong>&nbsp;hochwei&szlig; verleimt</li>
	<li><strong>350 Blatt pro Rolle</strong> &ndash; 40 Rollen im Karton = 1 Karton</li>
	<li><u>1 Karton = 10 x 4 Rollen = 40 Rollen</u></li>
	<li>Hohe Festigkeit und soft und spitzen Zellstoffqualit&auml;t, Blumenpr&auml;gung</li>
	<li>Abmessungen: H&ouml;he 9,8cm &ndash; Blattl&auml;nge 12cm</li>
	<li><span style=""color:#4b6b8b;""><strong>Kartonversand &amp; Palettenversand</strong></span></li>
	<li>Vorteile :</li>
	<li>Diese Toilettenpapierrolle verursacht keinen Plastikm&uuml;ll!</li>
	<li>Die Umverpackungen und Kartonagen gehen wieder zu 100%&nbsp;in den Recyclingkreislauf</li>
</ul>
</body>
</html>";14.74;17.54;17.4;20.71;0192436d054573ab9c558465bce16e8d;19;"Standard rate";0198125e14d17d7e9448f8a6484bbd74;https://sw6.hamburgpapier-shop.de/media/f8/a3/52/1752654812/toilettenpapier-3-lagig-zellstoff-ohne-plastik-verpackung-350-blatt.avif?ts=1752654861;"Toilettenpapier 3 lagig 350 Blatt ohne Plastik";"Toilettenpapier 3 lagig zellstoff ohne plastik 350 blatt verpackt in einem karton mit 40 Rollen inhalt mit solarenergie";;;0000000000000000000000000000033c|00000000000000000000000000000332|0000000000000000000000000000035e|019879fecd18750283cc45dc62d5fc26;0192436de3fe728997374211eefd79c9;af000000000000000000000000000391|af000000000000000000000000000395|af000000000000000000000000000390|af00000000000000000000000000033b;
00000000000000000000000000000fc3;;ZU350;1;99999;"Toilettenpapier 3 lagig Zellstoff 350 Blatt ohne Plastik m. Solarenergie hergestellt 10 x 4 Rollen  PALETTE";;14.18;16.87;1;1.19;0192436d054573ab9c558465bce16e8d;19;"Standard rate";;;;;;;;;;
00000000000000000000000000001021;;061-Karton;1;99999;"Toilettenpapier 2 lagig Zellstoff hochweiß 250 Blatt • 128 Rollen Karton";"<ul>
	<li style=""color: black;""><strong>Toilettenpapier 2 lagig Zellstoff hochwei&szlig;</strong> verleimt Bl&uuml;mchenpr&auml;gung</li>
	<li style=""color: black;"">250 Blatt pro Rolle &ndash; 8 x 8 Rollen in der Verpackung = 1 VE</li>
	<li style=""color: black;""><strong><u>1 Karton&nbsp;= 2 VE&nbsp;= 128&nbsp;Rollen</u></strong></li>
	<li style=""color: black;"">Hohe Festigkeit und <strong>soft</strong> 100% Zellstoff</li>
	<li style=""color: black;"">Abmessungen: H&ouml;he 9,50cm &ndash; Blattl&auml;nge 11cm</li>
	<li><span style=""color:#4b6b8b;""><strong>Kartonversand ab 1 Karton = 128&nbsp;Rollen</strong></span></li>
	<li style=""color: black;""><span style=""font-size: 12px; color: rgb(255, 0, 0);"">Information: Ab 8&nbsp;Kartons = 16 VE = 1024 Rollen = 1/2 Palette, versenden wir auf Palette</span></li>
</ul>";38.06;45.29;0;0;0192436d054573ab9c558465bce16e8d;19;"Standard rate";0197fec8e556704aae5a61cf98fa0b0f;https://sw6.hamburgpapier-shop.de/media/06/1e/d1/1752326269/toilettenpapier-2-lagig-hochweiss-zellstoff-250-blatt-kartonversand.avif?ts=1752326338;"Toilettenpapier 2 lagig hochweiss Kartonversand ab 128 Rollen ";"toliettenpapier 2 lagig hochweiss zellstoff 250 blatt versand in einem Karton mit 128 rollen ohne extra versandkosten";;;00000000000000000000000000000332|00000000000000000000000000000335|00000000000000000000000000000354|019879fd7c4e7b44a5e4042dd41a4916;0192436de3fe728997374211eefd79c9;af000000000000000000000000000392|af000000000000000000000000000395|af0000000000000000000000000003a8|af000000000000000000000000000390;
